Data,Consum[MW],Medie Consum[MW],Productie[MW],Carbune[MW],Hidrocarburi[MW],Ape[MW],Nuclear[MW],Eolian[MW],Foto[MW],Biomasa[MW],Sold[MW]
2023-12-31 23:59:14,5431,5538,6944,826,1544,2060,1396,1088,-1,32,-1513
2023-12-31 23:49:24,5494,5538,7112,832,1598,2181,1396,1074,-1,32,-1618
2023-12-31 23:39:34,5495,5538,7108,833,1597,2182,1393,1072,-1,31,-1613
2023-12-31 23:30:04,5530,5538,7129,846,1595,2183,1395,1079,-1,32,-1599
2023-12-31 23:20:04,5600,5538,7181,837,1604,2214,1394,1101,-1,31,-1581
2023-12-31 23:10:04,5599,5538,7175,835,1605,2200,1397,1107,-1,32,-1576
2023-12-31 23:00:14,5599,5538,7105,845,1598,2136,1399,1096,-1,32,-1506
2023-12-31 22:50:24,5662,5718,6593,834,1594,1661,1395,1078,-1,32,-931
2023-12-31 22:40:34,5707,5718,6621,845,1600,1674,1395,1077,-1,31,-915
2023-12-31 22:31:04,5697,5718,6635,848,1601,1690,1395,1070,-1,32,-938
2023-12-31 22:21:04,5731,5718,6628,840,1604,1689,1395,1067,-1,32,-897
2023-12-31 22:11:04,5790,5718,6620,831,1602,1690,1390,1068,-1,32,-830
2023-12-31 22:01:14,5832,5718,6601,827,1552,1737,1393,1055,-1,32,-770
2023-12-31 21:51:24,5884,5964,7347,874,1525,2507,1394,1016,-1,32,-1463
2023-12-31 21:41:34,5938,5964,7363,920,1529,2501,1394,988,-1,31,-1425
2023-12-31 21:32:04,5984,5964,7451,951,1569,2527,1396,977,-1,32,-1466
2023-12-31 21:22:04,6028,5964,7527,966,1602,2607,1398,922,-1,32,-1500
2023-12-31 21:12:04,6046,5964,7504,968,1614,2606,1397,888,-1,32,-1459
2023-12-31 21:02:14,6084,5964,7440,955,1602,2580,1399,873,-1,32,-1357
2023-12-31 20:52:24,6124,6263,7263,934,1553,2514,1396,834,-1,32,-1104
2023-12-31 20:42:34,6199,6263,7340,956,1586,2568,1395,804,-1,32,-1141
2023-12-31 20:33:04,6231,6263,7403,976,1618,2611,1394,773,-1,32,-1172
2023-12-31 20:23:04,6297,6263,7381,973,1617,2623,1397,741,-1,32,-1084
2023-12-31 20:13:04,6347,6263,7375,968,1620,2631,1395,727,-1,32,-1028
2023-12-31 20:03:14,6408,6263,7323,962,1625,2619,1396,687,-1,31,-915
2023-12-31 19:53:24,6467,6542,7442,955,1626,2776,1394,659,-1,32,-975
2023-12-31 19:43:34,6505,6542,7409,959,1632,2780,1396,612,-1,32,-904
